"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BKK","Blackrock Municipal 2020 Term Trust","15.01","$303.75M","2003","n/a","n/a","https://old.nasdaq.com/symbol/bkk",
"BBK","Blackrock Municipal Bond Trust","15.53","$163.42M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bbk",
"BBF","BlackRock Municipal Income Investment Trust","12.94","$132.41M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bbf",
"BYM","Blackrock Municipal Income Quality Trust","14.28","$377.08M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bym",
"BFK","BlackRock Municipal Income Trust","13.79","$618.22M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bfk",
"BLE","BlackRock Municipal Income Trust II","14.88","$350.34M","2002","n/a","n/a","https://old.nasdaq.com/symbol/ble",
"BTT","BlackRock Municipal Target Term Trust Inc. (The)","24.79","$1.75B","2012","n/a","n/a","https://old.nasdaq.com/symbol/btt",
"MEN","Blackrock MuniEnhanced Fund, Inc.","11.41","$338.67M","1989","n/a","n/a","https://old.nasdaq.com/symbol/men",
"MUC","Blackrock MuniHoldings California Quality Fund,  Inc.","14.34","$587.98M","1998","n/a","n/a","https://old.nasdaq.com/symbol/muc",
"MUH","Blackrock MuniHoldings Fund II, Inc.","14.43","$163.58M","1998","n/a","n/a","https://old.nasdaq.com/symbol/muh",
"MHD","Blackrock MuniHoldings Fund, Inc.","15.2","$215.99M","1997","n/a","n/a","https://old.nasdaq.com/symbol/mhd",
"MFL","Blackrock MuniHoldings Investment Quality Fund","13.29","$503.64M","1997","n/a","n/a","https://old.nasdaq.com/symbol/mfl",
"MUJ","Blackrock MuniHoldings New Jersey Insured Fund, Inc.","13.68","$411.59M","1998","n/a","n/a","https://old.nasdaq.com/symbol/muj",
"MHN","Blackrock MuniHoldings New York Quality Fund, Inc.","13.53","$421.22M","1997","n/a","n/a","https://old.nasdaq.com/symbol/mhn",
"MUE","Blackrock MuniHoldings Quality Fund II, Inc.","12.8","$288.27M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mue",
"MUS","Blackrock MuniHoldings Quality Fund, Inc.","12.73","$165.72M","1998","n/a","n/a","https://old.nasdaq.com/symbol/mus",
"MVT","Blackrock MuniVest Fund II, Inc.","13.9534","$297.76M","1993","n/a","n/a","https://old.nasdaq.com/symbol/mvt",
"MYC","Blackrock MuniYield California Fund, Inc.","13.98","$299.44M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myc",
"MCA","Blackrock MuniYield California Insured Fund, Inc.","14.49","$498.54M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mca",
"MYD","Blackrock MuniYield Fund, Inc.","13.54","$635.29M","1991","n/a","n/a","https://old.nasdaq.com/symbol/myd",
"MYF","Blackrock MuniYield Investment Fund","13.27","$181.98M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myf",
"MFT","Blackrock MuniYield Investment QualityFund","13.8827","$117.71M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mft",
"MIY","Blackrock MuniYield Michigan Quality Fund, Inc.","13.97","$412.25M","1992","n/a","n/a","https://old.nasdaq.com/symbol/miy",
"MYJ","Blackrock MuniYield New Jersey Fund, Inc.","13.58","$328.07M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myj",
"MYN","Blackrock MuniYield New York Quality Fund, Inc.","12.62","$499.58M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myn",
"MPA","Blackrock MuniYield Pennsylvania Quality Fund","13.83","$184.05M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mpa",
"MQT","Blackrock MuniYield Quality Fund II, Inc.","13.1207","$295.98M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mqt",
"MYI","Blackrock MuniYield Quality Fund III, Inc.","13.41","$913.9M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/myi",
"MQY","Blackrock MuniYield Quality Fund, Inc.","16.16","$496.31M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mqy",
"BNY","BlackRock New York Investment Quality Municipal Trust Inc. (Th","13.55","$175.83M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bny",
"BSE","Blackrock New York Municipal Income Quality Trust","13.07","$85.21M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bse",
"BFY","BlackRock New York Municipal Income Trust II","13.9485","$69.81M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bfy",
"BCX","BlackRock Resources","6.02","$542.25M","2011","n/a","n/a","https://old.nasdaq.com/symbol/bcx",
"BST","BlackRock Science and Technology Trust","44.43","$1.07B","2014","n/a","n/a","https://old.nasdaq.com/symbol/bst",
